USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
TX|48247|0500000US48247|01383909|Jim Hogg County|2942674717|92565|1136.173|0.036|27.053231|-98.747572
TX|48249|0500000US48249|01383910|Jim Wells County|2240795355|8723371|865.176|3.368|27.733516|-98.090814
TX|48251|0500000US48251|01383911|Johnson County|1877907683|23774417|725.064|9.179|32.379654|-97.364906
TX|48253|0500000US48253|01383912|Jones County|2405078225|22095886|928.606|8.531|32.744051|-99.877599
TX|48255|0500000US48255|01383913|Karnes County|1936669676|15010311|747.752|5.796|28.908613|-97.852707
TX|48257|0500000US48257|01383914|Kaufman County|2022040592|69411626|780.714|26.8|32.614502|-96.28819
TX|48259|0500000US48259|01383915|Kendall County|1715747578|1496797|662.454|0.578|29.943525|-98.709269
TX|48261|0500000US48261|01383916|Kenedy County|3777657848|1261927316|1458.562|487.233|26.890213|-97.591143
TX|48263|0500000US48263|01383917|Kent County|2337482023|1065195|902.507|0.411|33.18478|-100.76972
TX|48265|0500000US48265|01383918|Kerr County|2857614405|10234913|1103.331|3.952|30.053717|-99.374442
TX|48267|0500000US48267|01383919|Kimble County|3240024041|505509|1250.98|0.195|30.479472|-99.746396
TX|48269|0500000US48269|01383920|King County|2359150565|6396290|910.873|2.47|33.614268|-100.245345
TX|48271|0500000US48271|01383921|Kinney County|3523765258|11885327|1360.533|4.589|29.347086|-100.4177
TX|48273|0500000US48273|01383922|Kleberg County|2282572442|541041670|881.306|208.897|27.438735|-97.66062
TX|48275|0500000US48275|01383923|Knox County|2203098596|12587671|850.621|4.86|33.61189|-99.730356
TX|48277|0500000US48277|01383925|Lamar County|2349985883|66739471|907.335|25.768|33.667263|-95.570348
TX|48279|0500000US48279|01383926|Lamb County|2631897572|3973764|1016.181|1.534|34.068861|-102.348018
TX|48281|0500000US48281|01383927|Lampasas County|1845440099|2749902|712.528|1.062|31.196731|-98.240889
TX|48283|0500000US48283|01383924|La Salle County|3850545747|19503739|1486.704|7.53|28.351098|-99.096774
TX|48285|0500000US48285|01383928|Lavaca County|2511535215|1882216|969.709|0.727|29.382578|-96.923633
TX|48287|0500000US48287|01383929|Lee County|1629263067|13064172|629.062|5.044|30.321343|-96.976637
TX|48289|0500000US48289|01383930|Leon County|2779460788|19328384|1073.156|7.463|31.300493|-95.995622
TX|48291|0500000US48291|01383931|Liberty County|3000453935|46288044|1158.482|17.872|30.186087|-94.855371
TX|48293|0500000US48293|01383932|Limestone County|2345053189|71830224|905.43|27.734|31.547543|-96.593623
TX|48295|0500000US48295|01383933|Lipscomb County|2414422636|298741|932.214|0.115|36.2802|-100.272683
TX|48297|0500000US48297|01383934|Live Oak County|2692796899|101483819|1039.695|39.183|28.351479|-98.126891
TX|48299|0500000US48299|01383935|Llano County|2419227361|82329206|934.069|31.787|30.707584|-98.68469
TX|48301|0500000US48301|01383936|Loving County|1732230109|19981167|668.818|7.715|31.887608|-103.452974
TX|48303|0500000US48303|01383937|Lubbock County|2319707294|13101228|895.644|5.058|33.611469|-101.819944
TX|48305|0500000US48305|01383938|Lynn County|2309924802|4169718|891.867|1.61|33.178412|-101.818493
TX|48307|0500000US48307|01383945|McCulloch County|2759893527|20286192|1065.601|7.833|31.205477|-99.359856
TX|48309|0500000US48309|01383946|McLennan County|2685056042|60961673|1036.706|23.537|31.55116|-97.200946
TX|48311|0500000US48311|01383947|McMullen County|2952066564|43985124|1139.799|16.983|28.384922|-98.578853
TX|48313|0500000US48313|01383939|Madison County|1207234699|16361999|466.116|6.317|30.966878|-95.930372
TX|48315|0500000US48315|01383940|Marion County|986638442|102066268|380.943|39.408|32.798326|-94.356847
TX|48317|0500000US48317|01383941|Martin County|2369724573|1931831|914.956|0.746|32.30983|-101.961836
TX|48319|0500000US48319|01383942|Mason County|2405674087|8755302|928.836|3.38|30.703914|-99.236836
TX|48321|0500000US48321|01383943|Matagorda County|2831196247|1345191837|1093.131|519.381|28.77476|-96.001532
TX|48323|0500000US48323|01383944|Maverick County|3313841504|31849651|1279.481|12.297|28.729787|-100.316678
TX|48325|0500000US48325|01383948|Medina County|3432680846|23745247|1325.366|9.168|29.353661|-99.111085
TX|48327|0500000US48327|01383949|Menard County|2336237978|613559|902.027|0.237|30.885275|-99.858843
TX|48329|0500000US48329|01383950|Midland County|2331915299|4252951|900.358|1.642|31.814269|-102.002454
TX|48331|0500000US48331|01383951|Milam County|2632375318|11805499|1016.366|4.558|30.791242|-96.984395
TX|48333|0500000US48333|01383952|Mills County|1937892764|4023558|748.225|1.554|31.501883|-98.607232
TX|48335|0500000US48335|01383953|Mitchell County|2359720425|12480260|911.093|4.819|32.304117|-100.924392
TX|48337|0500000US48337|01383954|Montague County|2411034620|19087358|930.906|7.37|33.678356|-97.725014
TX|48339|0500000US48339|01383955|Montgomery County|2699231373|89889706|1042.179|34.707|30.29881|-95.502962
TX|48341|0500000US48341|01383956|Moore County|2330207186|25699789|899.698|9.923|35.835676|-101.890502
TX|48343|0500000US48343|01383957|Morris County|652649023|17382447|251.989|6.711|33.116466|-94.731265
TX|48345|0500000US48345|01383958|Motley County|2562963900|644140|989.566|0.249|34.057899|-100.793152
TX|48347|0500000US48347|01383959|Nacogdoches County|2450966950|89731150|946.324|34.645|31.618639|-94.621457
TX|48349|0500000US48349|01383960|Navarro County|2615116335|197615413|1009.702|76.3|32.043349|-96.476406
